Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
10,"Maillot, M Thonnat, A Boucher",Towards ontology based cognitive vision,40,2003, Springer, …   ICVS 2003  Graz  Austria  April 1–3 …,https://link.springer.com/chapter/10.1007/3-540-36592-3_5,2
162,"Letalle, A Lakehal, H Mengu",Ontology for mobility of people with intellectual disability: building a basis of definitions for the development of navigation aid systems,7,2020, Springer, … 2020  Held as Part of the …,https://link.springer.com/chapter/10.1007/978-3-030-50523-3_23,2
39,Srimathi,Knowledge representation of LMS using ontology,28,2010, Citeseer, International Journal of Computer Applications,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=83f7919ea780cc5350a0088fc2b55bc11c066e0c,2
61,"M Peeters, KV Bosch…",An ontology for automated scenario–based training,25,2014, inderscienceonline.com, … Enhanced Learning,https://www.inderscienceonline.com/doi/abs/10.1504/IJTEL.2014.068354,2
199,"Daoud, L Tamine, M Boughanem…",Learning implicit user interests using ontology and search history for personalization,39,2007, Springer, Web Information Systems …,https://link.springer.com/chapter/10.1007/978-3-540-77010-7_31,2
51,"Anikin, D Litovkin, E Sarkisova…",Ontology-based approach to decision-making support of conceptual domain models creating and using in learning and scientific research,9,2019, iopscience.iop.org, IOP conference …,https://iopscience.iop.org/article/10.1088/1757-899X/483/1/012074/meta,2
203,Bluhm,The need for new ontologies in psychiatry,16,2017, Taylor & Francis, Philosophical Explorations,https://www.tandfonline.com/doi/abs/10.1080/13869795.2017.1312498,2
38," Kumaran, A Sankar",An automated assessment of students' learning in e-learning using concept map and ontology mapping,22,2013, Springer,Based Learning–ICWL 2013: 12th …,https://link.springer.com/chapter/10.1007/978-3-642-41175-5_28,2
196,"Sun, K Ousmanou, M Cross",An ontological modelling of user requirements for personalised information provision,22,2010, Springer, Information Systems Frontiers,https://link.springer.com/article/10.1007/s10796-008-9144-x,2
54," Primo, RM Vicari, KS Bernardi",User profiles and learning objects as ontology individuals to allow reasoning and interoperability in recommender systems,21,2012, ieeexplore.ieee.org, Proceedings of the 2012 …,https://ieeexplore.ieee.org/abstract/document/6201139/,2
26," Tarasenko, SA Usenko, YB Shapovalov…",Ontology-based learning environment model of scientific studies.,6,2021, icteri.org, CoSinE@ ICTERI,https://icteri.org/icteri-2021/proceedings/volume-2/202110205.pdf,2
206,Oral,Meaning management: A framework for leadership ontology,12,2019, scholar.valpo.edu,Based Leadership,https://scholar.valpo.edu/jvbl/vol12/iss2/11/,2
97,"Eyharabide, A Amandi, M Courgeon…",An ontology for predicting students' emotions during a quiz. Comparison with self-reported emotions,27,2011, ieeexplore.ieee.org, 2011 IEEE workshop …,https://ieeexplore.ieee.org/abstract/document/5953153/,2
16,"Grivokostopoulou, I Perikos…",An ontology-based approach for user modelling and personalization in e-learning systems,10,2019, ieeexplore.ieee.org, 2019 IEEE/ACIS …,https://ieeexplore.ieee.org/abstract/document/8940269/,2
117,Maillot,Ontology based object learning and recognition,34,2005, theses.hal.science,,https://theses.hal.science/tel-00327542/,2
88,"Paquette, I Rosca","An ontology-based referencing of actors, operations and resources in eLearning systems",32,2004, academia.edu,EL)  August …,https://www.academia.edu/download/41380988/Paquette2004b.pdf,2
123,"Kun, JE Brenner",An informational ontology and epistemology of cognition,20,2015, Springer, Foundations of Science,https://link.springer.com/article/10.1007/s10699-014-9364-0,2
124,"Šarić, L Šerić",Time spent online as an online learning behavior variable in a blended learning environment with an ontology-based intelligent tutoring system,10,2018, ieeexplore.ieee.org, 2018 26th International Conference on …,https://ieeexplore.ieee.org/abstract/document/8555854/,2
86,"Oktavia, H Prabowo, R Kosala…",A conceptual social learning ontology for higher education in e-learning 2.0,13,2016, ieeexplore.ieee.org, 2016 International …,https://ieeexplore.ieee.org/abstract/document/7930323/,2
78,"Lytvyn, V Vysotska, W Wojcik…",A method of construction of automated basic ontology,17,2017, kpi.kharkov.ua, … systems (COLINS 2017),http://web.kpi.kharkov.ua/iks/wp-content/uploads/sites/113/2021/11/COLINS-2017_conference_proceedings.pdf#page=75,2
59,"M Fong, G Hong, B Fong",Augmented intelligence with ontology of semantic objects,8,2019, ieeexplore.ieee.org, 2019 International Conference on …,https://ieeexplore.ieee.org/abstract/document/9055577/,2
136,"Gil, MJ Marti",SMOL: a systemic methodology for ontology learning from heterogeneous sources,22,2014, Springer, Journal of Intelligent Information Systems,https://link.springer.com/article/10.1007/s10844-013-0296-x,2
177,Adami,Toward cosmopolitan ethics in teacher education: An ontological dimension of learning human rights,18,2014, Taylor & Francis, Ethics and Education,https://www.tandfonline.com/doi/abs/10.1080/17449642.2014.890272,2
75,"Cakula, ABM Salem",Ontology-based collaborative model for e-learning,24,2011, alephfiles.rtu.lv," Proc. of the Annual Int Conf on"" Virtual and …",http://alephfiles.rtu.lv/TUA01/000034026_e.pdf,2
185," Taylor, V Raskin…",Towards computational guessing of unknown word meanings: The Ontological Semantic approach,25,2011, escholarship.org, … meeting of the cognitive …,https://escholarship.org/content/qt6wf1h6bc/qt6wf1h6bc.pdf,2
147," Kalogeraki, C Troussas, D Apostolou…",Ontology-based model for learning object metadata,13,2016, ieeexplore.ieee.org, … & Applications (IISA),https://ieeexplore.ieee.org/abstract/document/7785383/,2
218, Kravchenko,The ontology of signs as linguistic and non-linguistic entities: a cognitive perspective,43,2003, Citeseer, Annual Review of Cognitive Linguistics,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=c951b0166ca1ee15bd6d9c4d4a2d522e061b9f3e,2
209,"Distante, S Faralli, S Rittinghaus, P Rosso…",Domainsenticnet: An ontology and a methodology enabling domain-aware sentic computing,4,2022, Springer, Cognitive …,https://link.springer.com/article/10.1007/s12559-021-09825-w,2
187,"Tzoumpa, T Karvounidis, C Douligeris",Towards an Ontology Approach in Teaching Geometry,4,2017, Springer, … Learning: Proceedings of the …,https://link.springer.com/chapter/10.1007/978-3-319-50340-0_16,1
188,"Wan, J Barnden",A new semantic model for domain-ontology learning,5,2015, books.google.com,Centered Computing,https://books.google.com/books?hl=en&lr=&id=JuULBwAAQBAJ&oi=fnd&pg=PA140&dq=ontology+cognitive+learning&ots=JhuFA2U62p&sig=TtbRaCYG01Ez5RwlqMSCw_k1oeY,1
178,Díe,Ontology-based knowledge retrieval,14,2008, ieeexplore.ieee.org, 2008 Seventh …,https://ieeexplore.ieee.org/abstract/document/4682438/,1
197," Bittencourt, E de Barros Costa…",Towards an ontology-based framework for building multiagent intelligent tutoring systems,10,2007, academia.edu, Workshop on software …,https://www.academia.edu/download/47957651/Towards_an_ontology-based_framework_for_20160810-12370-1vcgjfg.pdf,1
37,"Marzano, A Notti",EduOnto: An ontology for educational assessment,9,2015, learntechlib.org,Learning and Knowledge Society,https://www.learntechlib.org/p/150720/,1
33," Baker, G Chung, J Herman",Ontology-based educational design: Seeing is believing,14,2009, cresst.org, Los Angeles  CA: CRESST,https://cresst.org/wp-content/uploads/cresst_resource13.pdf,1
226,Brożek,Neuroscience and the Ontology of Law,4,2017, ruj.uj.edu.pl, Polish Law Review,https://ruj.uj.edu.pl/xmlui/bitstream/handle/item/49523/brozek_neuroscience_and_the_ontology_of_law_2017.pdf?sequence=1&isAllowed=y,1
235,"Yathongchai, J Angskun, CC FUNG",An ontology model for developing a SQL personalized intelligent tutoring system,4,2017, journal.nu.ac.th, … University Journal: Science …,https://www.journal.nu.ac.th/NUJST/article/view/An%20Ontology%20Model%20for%20Developing%20a%20SQL%20Personalized%20Intelligent%20Tutoring%20System,1
236,"Sarwar, R Garcí",Ontology Based e-Learning Systems: A Step towards Adaptive Content Recommendation,4,2018, openresearch.lsbu.ac.uk, … of Information and …,https://openresearch.lsbu.ac.uk/item/88v49,1
30,"Gao, T Donoghue, B Voytek",Automated Generation of Cognitive Ontology via Web Text-Mining.,4,2017, cogsci.mindmodeling.org, CogSci,https://cogsci.mindmodeling.org/2017/papers/0395/paper0395.pdf,1
131,"Martin, A Mitrovic, P Suraweera",ITS domain modelling with ontology,16,2008, ir.canterbury.ac.nz,,http://ir.canterbury.ac.nz/handle/10092/2504,1
74,Bouara,Ontology based teaching domain knowledge management for E-Learning by doing systems,13,2015, hal.science, Electronic Journal of …,https://hal.science/hal-01535943/,1
145,"Yessad, C Faro",Ontology-based semantic relatedness for detecting the relevance of learning resources,12,2011, Taylor & Francis, Interactive Learning …,https://www.tandfonline.com/doi/abs/10.1080/10494820.2011.528888,1
153,"Yurchyshyna, M Léonard",Bridging ontological vision and service-oriented approach for development of cognitive information systems,8,2009, ieeexplore.ieee.org, …   Service Computation  Cognitive …,https://ieeexplore.ieee.org/abstract/document/5359631/,1
154,"Hunyadi, I Pah",Ontology used in a e-learning multi-agent architecture,13,2008, wseas.us, WSEAS transactions on information science & …,http://www.wseas.us/e-library/transactions/information/2008/27-1364.pdf,1
149,"Peso, F de Arriaga",Intelligent E‐Learning Systems: Automatic Construction of Ontologies,9,2008, aip.scitation.org, AIP Conference Proceedings,https://aip.scitation.org/doi/abs/10.1063/1.2937608,1
135,"Rahman, T Atahary, T Taha…",Cognitive domain ontologies on the TrueNorth neurosynaptic system,7,2017, ieeexplore.ieee.org, 2017 International Joint …,https://ieeexplore.ieee.org/abstract/document/7966302/,1
157,Russell,Learning for being: an ontological and existential approach,22,2007, Taylor & Francis, International Journal of Lifelong Education,https://www.tandfonline.com/doi/abs/10.1080/02601370701417137,1
118,"Antony, S Ramakrishnan, MT Joy…","… based e-assessments enabling better student engagement, evaluation and recommendation services in e-learning making use of fuzzy rules and course ontologies",9,2012, ieeexplore.ieee.org, 2012 IEEE Fourth …,https://ieeexplore.ieee.org/abstract/document/6305952/,1
150,"Martin, A Mitrovic, P Suraweera",Domain modelling with ontology: A case study,12,2007, researchgate.net, A3EH  5th Adaptive Authoring …,https://www.researchgate.net/profile/Brent-Martin-3/publication/250057964_Domain_Modelling_with_Ontology_A_Case_Study/links/0c960538dac71d8d78000000/Domain-Modelling-with-Ontology-A-Case-Study.pdf,1
151,"Hussain, K Farooq, B Luo…",A novel ontology and machine learning inspired hybrid cardiovascular decision support framework,9,2015, ieeexplore.ieee.org, 2015 IEEE Symposium …,https://ieeexplore.ieee.org/abstract/document/7376697/,1
142,"Poesio, E Barbu, C Giuliano, L Romano…",Supervised relation extraction for ontology learning from text based on a cognitively plausible model of relations,18,2008, academia.edu, … on ontology learning …,https://www.academia.edu/download/66786835/Supervised_relation_extraction_for_ontol20210502-19299-1ofl8h5.pdf,1
167,"Koutero, S Fujita, K Sugawara",Design of an assisting agent using a dynamic ontology,9,2010, ieeexplore.ieee.org, 2010 IEEE/ACIS 9th …,https://ieeexplore.ieee.org/abstract/document/5590993/,1
171," Challco, S Isotani…",The effects of ontology-based gamification in scripted collaborative learning,6,2019, ieeexplore.ieee.org, … on Advanced Learning …,https://ieeexplore.ieee.org/abstract/document/8820902/,1
76,"Marzano, AM Notti",Educational assessment: Semantic representation and ontologies,13,2014, ieeexplore.ieee.org, 2014 International Conference on …,https://ieeexplore.ieee.org/abstract/document/7057172/,1
138,Paneva,Ontology-based student modeling,23,2006, researchgate.net, Proceedings of the Fourth CHIRON,https://www.researchgate.net/profile/Desislava-Paneva-Marinova/publication/232806455_Ontology-based_Student_Modeling/links/0fcfd5097c82147a45000000/Ontology-based-Student-Modeling.pdf,1
60,Marichal,You Call This Service?: A Civic Ontology Approach to Evaluating Service-Learning in Diverse Communities,15,2010, Taylor & Francis, Journal of Political Science Education,https://www.tandfonline.com/doi/abs/10.1080/15512161003708236,1
137,"Fujita, IA Zualkernan",An ontology-driven approach for generating assessments for the scrum software process,13,2008, books.google.com, … of the seventh SoMeT_08. IOS Press …,https://books.google.com/books?hl=en&lr=&id=DUp4M4gNDE0C&oi=fnd&pg=PA190&dq=ontology+cognitive+learning&ots=euAFz2l1Rx&sig=cK_XVquMUHqNlVTl8oNIIezXahc,1
179,"Fan, C Tan, X Li",A hierarchical method for assessing cyber security situation based on ontology and fuzzy cognitive maps,3,2021, inderscienceonline.com, International Journal of Information and …,https://www.inderscienceonline.com/doi/abs/10.1504/IJICS.2021.114704,1
133,"Weber, R Vas",Studio: Ontology-Based Educational Self-Assessment.,9,0,ws.org,,https://ceur-ws.org/Vol-1446/GEDM_2015_Submission_5.pdf,0
230," Tseng, TY Yang, JF Weng…",Building a game-based internet security learning system by ontology crystallization approach,4,2015, search.proquest.com,Learning  e …,https://search.proquest.com/openview/ec0d4e6d828f75697abc51304c63d0a7/1?pq-origsite=gscholar&cbl=1976356,0
128,"Messaoudi, M Moussaoui, A Bouchboua…",Modeling approach to a learner based on ontology,4,2013, Citeseer, International Journal of …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=022bad338a32ed65be5f37232798bb7a5aa7ec8e,0
232,"Yu, J Wu, W Gao",Fuse and Divide Technologies for Sparse Vector Learning in Ontology Algorithms.,3,2016, engineeringletters.com, Engineering Letters,https://www.engineeringletters.com/issues_v24/issue_3/EL_24_3_11.pdf,0
125,"Zhang, X Sun",The Research on Ontology-based Knowledge Visualization in E-Learning Resources Management,4,2008, ieeexplore.ieee.org, 2008 Fourth International Conference on …,https://ieeexplore.ieee.org/abstract/document/4725976/,0
234, Rahman,Low Power Based Cognitive Domain Ontology Solving Approaches,0,2021, search.proquest.com,,https://search.proquest.com/openview/f9918eb1b3d5ea0cb8d1506a85d7a0e0/1?pq-origsite=gscholar&cbl=18750&diss=y,0
85,Staller,Merging domain knowledge and task analysis in an ontology,9,2006, Citeseer,Assisted …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=5ac325aaf0992c61bc8092d612f14ea6e137599c,0
121,"A Ahmed, L Kovács",ONTOLOGY SUPPORT DOMAIN MODEL FOR E-TUTORING SYSTEM,1,0, researchgate.net,,https://www.researchgate.net/profile/Owais-Khanday/publication/343418314_Doktoranduszok_Foruma/links/5f294f4692851cd302d88857/Doktoranduszok-Foruma.pdf#page=95,0
122,"Boicu, G Tecuci, D Schum",Intelligence analysis ontology for cognitive assistants,8,0,ws.org,,https://ceur-ws.org/Vol-440/Proceedings.pdf#page=31,0
237,"Alemán, MJ Somodevilla, D Vilariño",Semi-Automatic Creation of Ontologies from Unstructured Pedagogical Texts to Assist in Significant Learning,0,2022, scielo.org.mx, Computación y Sistemas,https://www.scielo.org.mx/scielo.php?pid=S1405-55462022000100245&script=sci_arttext,0
238," Gavrilova, AV Voinov",The cognitive approach to the creation of ontology,3,2007, Springer, Automatic Documentation and Mathematical …,https://link.springer.com/article/10.3103/S0005105507020021,0
119,"Razumnikova, M Bakaev",Ontology of frequency-spatial organization of brain activity reflecting the cognitive reserves,2,2019, ieeexplore.ieee.org, 2019 International Multi …,https://ieeexplore.ieee.org/abstract/document/8958438/,0
116," Dessimoz, PF Gauthey","… for Cognition: Revising Selected Concepts, Including Cognition and Time, Considering Cognition Links with Philosophy and Implementing Automated Cognition …",1,2013, Citeseer, … Journal on Advances in Intelligent Systems …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=e23c2724f99bcb4835e53db9748d307aa9f88ba0#page=103,0
92," Lai, WC Liou",A service-oriented architecture for constructing ontology-based learning objects repository,7,2007, ieeexplore.ieee.org, Ninth IEEE International Symposium on …,https://ieeexplore.ieee.org/abstract/document/4475994/,0
243,"Kaladevi, A Revathi, S Sridhar",Development of Background Ontology for Weather Systems through Ontology Learning,2,2020, researchgate.net, Int J Recent Technol Eng,https://www.researchgate.net/profile/A-Revathi/publication/344428168_Development_of_Background_Ontology_for_Weather_Systems_through_Ontology_Learning/links/5f744852a6fdcc0086488205/Development-of-Background-Ontology-for-Weather-Systems-through-Ontology-Learning.pdf,0
244,Chen,Why are we reluctant to act immediately on climate change? From ontological assumptions to core cognition,3,2014, direct.mit.edu, Perspectives on Science,https://direct.mit.edu/posc/article-abstract/22/4/574/15387,0
245," Kor, G Orange","Epistemology, Ontology and Information Knowledge Management",2,2014, academia.edu,,https://www.academia.edu/download/86861663/unpublishedalkor-gorange-2006.pdf,0
246,"Askar, K Kalinyazgan, A Altun…",An Ontology driven model for e-learning in K-12 education,10,0,global.com,,https://www.igi-global.com/chapter/ontology-driven-model-learning-education/20783,0
247,"Shatnawi, MM Gaber, M Cocea",A heuristically modified fp-tree for ontology learning with applications in education,1,2019, arxiv.org, arXiv preprint arXiv:1910.13561,https://arxiv.org/abs/1910.13561,0
248,"Fernandes, C Pereira, MF Silva, AL Soares",UNDERSTANDING USERS'RESPONSE TO ONTOLOGY BASED SYSTEMS IN THE CONTEXT OF AN ENTERPRISE SPONSORED VIRTUAL COMMUNITY,0,2007, repositorio.inesctec.pt,,http://repositorio.inesctec.pt/handle/123456789/2934,0
96,"Srimathi, SK Srivatsa",Identification of ontology based learning object using instructional design,6,2008, Citeseer, Ubiquitous Computing and Communication …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=0009a4644f720ab6242da1d4ece3fb892e7f3188,0
134,"Liu, C Yu, D Mu",Ontology approach for e-learning system,2,2010, ieeexplore.ieee.org, 2010 International Conference on …,https://ieeexplore.ieee.org/abstract/document/5577007/,0
57," Chen, LY Deng, DL Lee…",Vocational professional certification learning cognitive assessment evaluation based on rule-space and ontology,1,2009, ieeexplore.ieee.org, … on Machine Learning …,https://ieeexplore.ieee.org/abstract/document/5212753/,0
225,Siddiqui,Teaching democracy: Relational ontology in feminist and Ambedkarite critique,1,2020, … .azimpremjiuniversity.edu.in, KNOWLEDGE  POLITICS AND …,https://publications.azimpremjiuniversity.edu.in/2364/1/PoE_Conference_Proceedings_Vol_II.pdf#page=224,0
144,"Capuano, A Gaeta, F Orciuoli…",Exploiting Tagging in Ontology-based e-Learning,4,2009, academia.edu, … Workshop on Ontology for …,https://www.academia.edu/download/51676319/Exploiting_Tagging_in_Ontology-based_e-L20170207-12348-vxibrv.pdf,0
107,Buch,Fathoming the Group in Social Theories of Learning. Social Ontologies and Methodologies in the Study of Learning.,0,2021, ucviden.dk, Frontiers in Psychology,https://www.ucviden.dk/files/114364977/Anders_Buch_Abstract_for_the_call_in_Frontiers_of_Psychology.docx,0
191,"Octavianib, MS Othmana",Ontology reasoning using SPARQL query: a case study of e-learning usage,3,2016, core.ac.uk, JT Jurnal Teknologies,https://core.ac.uk/download/pdf/132279174.pdf,0
173,"Karetsos, D Haralambopoulos",Integration of competencies in an ontology-based framework supporting teachers to construct learning designs in the domain of sustainable energy education,3,2011, sciendo.com, Journal of Teacher Education for …,https://sciendo.com/article/10.2478/v10099-011-0010-4,0
166,"Sheeba, SH Begum",An ontology approach to represent user profiles in e-learning,2,2013, researchgate.net, Int. J. Eng. Res. Technol,https://www.researchgate.net/profile/Sheeba-Justin/publication/322200531_An_Ontology_Approach_To_Represent_User_Profiles_In_E-Learning/links/5a746c49aca2720bc0dd63cf/An-Ontology-Approach-To-Represent-User-Profiles-In-E-Learning.pdf,0
165,"Isotani, R Mizoguchi",CHOCOLATO: A Concrete and Helpful Ontology-Aware Collaborative Learning Authoring Tool,1,0, Citeseer,S Isotani,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=ea6c950364196fdc00fdf8d01f092685a4437213,0
66," Hao, XX Meng, X Cui",A Knowledge Categorization Based Knowledge Ontology Metadata Model,2,2007, ieeexplore.ieee.org, … Conference on Machine Learning …,https://ieeexplore.ieee.org/abstract/document/4370864/,0
161,"Kultsova, A Anikin, I Zhukova",Ontology-based method of electronic learning resources retrieval and integration,4,2015, ieeexplore.ieee.org, 2015 6th International …,https://ieeexplore.ieee.org/abstract/document/7388112/,0
68,"Wang, L Kashani, YS Kim",Teaching Strategies Ontology Using SWRL Rules.,6,2005, Citeseer, ICCE,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=e57c707ef84abc2fde1a7339157a9e2b2bd07111,0
159,"Shakya, V Kumar",Capturing and disseminating the principles of self-regulated learning in an ontological framework,9,2005, Citeseer,Learning at the 3rd …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=74b3cc4c467db07a4160d49a99632a86be6ac111#page=27,0
201," Gavrilova, IA Leshcheva",Collective Ontologies Design and Development,3,2014, ieeexplore.ieee.org, 2014 Eighth International …,https://ieeexplore.ieee.org/abstract/document/6915575/,0
202,Gil Herrera,Knowledge management systems based on ontology learning,3,2014, digibug.ugr.es,,https://digibug.ugr.es/bitstream/handle/10481/34096/23674969.pdf?sequence=1&isAllowed=y,0
69,"Bourdeau, R Mizoguchi, Y Hayashi, V Psyché…",When the Domain of the Ontology is Education,26,0,libre.teluq.ca,,https://r-libre.teluq.ca/1486/,0
204," Ryabinin, SI Chuprina, IA Labutin",Ontology-driven tools for eeg-based neurophysiological research automation,2,0,journal.org,,http://sv-journal.org/2021-4/08/,0
70,"Li, AC UK, DC Hogg…",Ontology Knowledge-enhanced In-Context Learning for Action-Effect Prediction,0,2022, advancesincognitivesystems.github …, … in Cognitive …,https://advancesincognitivesystems.github.io/acs2022/data/acs22_paper-7652.pdf,0
155,"Chen, J Zhang, X Xue, Y Huang",Could not catch title,2,0," Journal of Network Intelligence, 2020",J Chen  J Zhang  X Xue,"Look manually at: https://scholar.google.com/scholar?start=150&q=ontology+cognitive+learning&hl=en&as_sdt=0,5&as_ylo=2003",0
213," Gayathri, KS Easwarakumar…",Fuzzy ontology based activity recognition for assistive health care using smart home,12,0,global.com,,https://www.igi-global.com/article/fuzzy-ontology-based-activity-recognition-for-assistive-health-care-using-smart-home/243368,0
214,"Liu, L Liu, H Kang, S Zhong",Ontology-based user modeling for adaptive educational hypermedia system,4,2009, ieeexplore.ieee.org, 2009 4th International …,https://ieeexplore.ieee.org/abstract/document/5228465/,0
215,"Yunianta, MS Othman, N Yusof…",Analysis and identification the complexity of data heterogeneity on learning environment using ontology,3,2015, telkomnika.uad.ac.id, TELKOMNIKA …,http://telkomnika.uad.ac.id/index.php/TELKOMNIKA/article/view/1321,0
31,"Fowler, F Gabriel, SN Leonard",Exploring the effect of teacher ontological and epistemic cognition on engagement with professional development,1,2022, Taylor & Francis, Professional Development in …,https://www.tandfonline.com/doi/abs/10.1080/19415257.2022.2131600,0
217,"De Cindio, LA Ripamonti, A Ferrara…",Combining SCORM metadata and ACM Computer Curricula to create an ontology for cataloguing learning objects,2,2004, air.unimi.it, Cognition and …,https://air.unimi.it/handle/2434/5167,0
180,"Demelo, K Sedig","Forming Cognitive Maps of Ontologies Using Interactive Visualizations. Multimodal Technol. Interact. 2021, 5, 2",0,2021, search.proquest.com,,https://search.proquest.com/openview/1e2da37235a52d367f184d7eb243d0e3/1?pq-origsite=gscholar&cbl=2059548,0
101, Silv,Ontological model to represent the student's learning profile,2,2013, library.iated.org, ICERI2013 …,https://library.iated.org/view/SILVALOPEZ2013ONT,0
